<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:03471c0b504f9f4849169d9220d1ff31b2617b1b67f95d6cddef1f2e9bf91e8b
size 8562
=======
PUBLISHEDDATE,TEXT
2019-05-03,"""In a victory for Gujarat potato farmers dragged to court by PepsiCo for alleged rights infringement"
2019-05-03,"""Farmers led by Nallamada Rythu Sangham on Thursday staged a sit-in in front of multinational PepsiCo plant at Tummalapalem village in Guntur district demanding immediate withdrawal of cases slapped by the company against farmers in Gujarat.PepsiCo has sued farmers in Gujarat asking them to pay Rs. 1.05 crore each as damages for infringing its rights by growing the potato variety used in its brand Lays chips.PepsiCos intention is to threaten the Indian farmers and make this as a precedent. We condemn the action of filing a suit against our brothers who are toiling to feed the Indian people"
2019-05-03,"""By PTIAHMEDABAD: Food and beverages giant PepsiCo India Thursday said it will withdraw its lawsuit against four Gujarat potato farmers accused of infringing its patent.""""After discussions with the government"
2019-05-03,"""By PTIAHMEDABAD: A day after PepsiCo announced that it would withdraw cases filed against the potato farmers in Gujarat"
2019-05-03,"""By PTIAHMEDABAD: Food and beverages giant PepsiCo India Thursday said it will withdraw its lawsuit against four Gujarat potato farmers accused of infringing its patent.""""After discussions with the government"
2019-05-03,"""Farmers led by Nallamada Rythu Sangham on Thursday staged a sit-in in front of multinational PepsiCo plant at Tummalapalem village in Guntur district demanding immediate withdrawal of cases slapped by the company against farmers in Gujarat.PepsiCo has sued farmers in Gujarat asking them to pay 1.05 crore each as damages for infringing its rights by growing the potato variety used in its brand Lays chips.PepsiCos intention is to threaten the Indian farmers and make this as a precedent. We condemn the action of filing a suit against our brothers who are toiling to feed the Indian people"
2019-05-03,"""Snacks and beverages maker PepsiCo India Holdings Pvt Ltd has decided to withdraw lawsuits it had filed against nine Gujarat farmers for allegedly growing a potato variety owned by the company without its permission.The company had registered cases of infringement of proprietary rights against four farmers in April 5 and five in 2018"
2019-05-03,"""By PTIAHMEDABAD: A day after PepsiCo announced that it would withdraw cases filed against the potato farmers in Gujarat"
2019-05-06,"""PepsiCo has applied to withdraw its cases against two brothers who are major potato farmers and traders in the Banaskantha district of Gujarat.This is the first concrete move taken by the company to back down from its cases against at least nine potato farmers who grew its protected variety used to make Lays chips.PepsiCos lawyer filed the application in a Deesa court on Monday.Anand Yagnik"
2019-05-07,"""PepsiCo has applied to withdraw its cases against two brothers who are major potato farmers and traders in the Banaskantha district of Gujarat.This is the first concrete move taken by the company to back down from its cases against at least nine potato farmers who grew its protected variety used to make Lays chips.PepsiCos lawyer filed the application in a Deesa court on Monday.Anand Yagnik"
2019-05-10,"""By Online DeskPepsiCo India on Friday withdrew its lawsuits filed against potato farmers from Gujarat for allegedly growing a variety which the company claimed to have exclusive rights. However"
2019-05-10,"""Food and beverages giant PepsiCo India on Friday withdrew the two lawsuits it had filed against nine Gujarat farmers for allegedly growing a potato on which it claimed exclusive rights.AdvertisingAnand Yagnik"
2019-05-10,"""PepsiCo has withdrawn all its cases against nine Gujarat farmers who grew its protected potato variety used to make Lays chips"
2019-05-10,"""By Online DeskPepsiCo India on Friday withdrew its lawsuits filed against potato farmers from Gujarat for allegedly growing a variety which the company claimed to have exclusive rights. However"
2019-05-11,"""PepsiCo has withdrawn all its cases against nine Gujarat farmers who grew its protected potato variety used to make Lays chips"
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
