<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d566ec72f5701baf6581886cc6391e933e407cb1bda794c53b01c28e66453c59
size 4104
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,COMMODITY,TEXT,ARTICLEURL,PUBLISHEDDATE,ARTICLETITLE,CENTRENAME,FILETYPE
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0472201066260471,WEST BENGAL,ISLAMPUR,POTATO,,,,,SILIGURI,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0308880308880308,UTTAR PRADESH,BARABANKI,POTATO,,,,,LUCKNOW,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0288949629051152,UTTAR PRADESH,BASTI,POTATO,,,,,VARANASI,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0284505959246444,UTTAR PRADESH,LUCKNOW,POTATO,,,,,LUCKNOW,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0275479440987052,WEST BENGAL,DURGAPUR,POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.020408163265306,UTTAR PRADESH,JALAUN,POTATO,,,,,KANPUR,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.019208153665229,UTTAR PRADESH,LAKHIMPUR,POTATO,,,,,LUCKNOW,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0181414291003332,WEST BENGAL,BISHNUPUR(BANKURA),POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.013536966331135,WEST BENGAL,ULUBERIA,POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0115160869129092,WEST BENGAL,KATWA,POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0074177637917978,WEST BENGAL,KALYANI,POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0067352002835874,WEST BENGAL,SHEORAPHULY,POTATO,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0058745499336743,NCT OF DELHI,AZADPUR,POTATO,,,,,DELHI,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0,GUJARAT,BHARUCH,POTATO,,,,,,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,0.9996155324875048,UTTAR PRADESH,FAIZABAD,POTATO,,,,,LUCKNOW,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9995456610631532,UTTAR PRADESH,ALLAHABAD,RICE,,,,,ALLAHABAD,RETAIL
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
