<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:80fa0a00bb6cdb2125256843d6c2fed1a69bb72ec10b3d2d8b630b72a7005a49
size 75416
=======
DATE,AVG,STD
2019-03-30,7206.25,226.98774746668596
2019-03-31,7206.25,226.98774746668596
2019-04-01,7206.25,226.98774746668596
2019-04-02,7206.25,226.98774746668596
2019-04-03,7218.75,223.51943427809582
2019-04-04,7218.75,223.51943427809582
2019-04-05,7218.75,223.51943427809582
2019-04-06,7218.75,223.51943427809582
2019-04-07,7218.75,223.51943427809582
2019-04-08,7218.75,223.51943427809582
2019-04-09,7218.75,223.51943427809582
2019-04-10,7218.75,223.51943427809582
2019-04-11,7218.75,223.51943427809582
2019-04-12,7218.75,223.51943427809582
2019-04-13,7218.75,223.51943427809582
2019-04-14,7218.75,223.51943427809582
2019-04-15,7218.75,223.51943427809582
2019-04-16,7218.75,223.51943427809582
2019-04-17,7218.75,223.51943427809582
2019-04-18,7218.75,223.51943427809582
2019-04-19,7218.75,223.51943427809582
2019-04-20,7218.75,223.51943427809582
2019-04-21,7218.75,223.51943427809582
2019-04-22,7231.25,213.50863565673404
2019-04-23,7231.25,213.50863565673404
2019-04-24,7243.75,202.23362109204294
2019-04-25,7256.25,195.95519258238605
2019-04-26,7256.25,195.95519258238605
2019-04-27,7268.75,188.6423534098321
2019-04-28,7268.75,188.6423534098321
2019-04-29,7306.25,187.812240016459
2019-04-30,7306.25,187.812240016459
2019-05-01,7306.25,187.812240016459
2019-05-02,7306.25,187.812240016459
2019-05-03,7306.25,187.812240016459
2019-05-04,7306.25,187.812240016459
2019-05-05,7306.25,187.812240016459
2019-05-06,7293.75,184.45443204217133
2019-05-07,7293.75,184.45443204217133
2019-05-08,7368.75,243.58969087381345
2019-05-09,7368.75,243.58969087381345
2019-05-10,7368.75,243.58969087381345
2019-05-11,7368.75,243.58969087381345
2019-05-12,7368.75,243.58969087381345
2019-05-13,7393.75,240.36105653786763
2019-05-14,7431.25,288.2463139400051
2019-05-15,7456.25,340.43859578490805
2019-05-16,7518.75,325.90019561209226
2019-05-17,7556.25,338.59775176453843
2019-05-18,7556.25,338.59775176453843
2019-05-19,7556.25,338.59775176453843
2019-05-20,7581.25,348.1536119301364
2019-05-21,7581.25,348.1536119301364
2019-05-22,7606.25,348.6021191846085
2019-05-23,7606.25,348.6021191846085
2019-05-24,7618.75,353.4981435594818
2019-05-25,7618.75,353.4981435594818
2019-05-26,7618.75,353.4981435594818
2019-05-27,7618.75,353.4981435594818
2019-05-28,7646.875,355.8522999433894
2019-05-29,7675.0,373.32961307670195
2019-05-30,7675.0,373.32961307670195
2019-05-31,7675.0,373.32961307670195
2019-06-01,7700.0,387.2983346207417
2019-06-02,7706.25,386.03553916705647
2019-06-03,7700.0,384.0572873934304
2019-06-04,7700.0,384.0572873934304
2019-06-05,7700.0,384.0572873934304
2019-06-06,7675.0,369.9662146737185
2019-06-07,7700.0,377.4917217635375
2019-06-08,7700.0,377.4917217635375
2019-06-09,7712.5,388.7077951366553
2019-06-10,7750.0,418.33001326703777
2019-06-11,7783.333333330555,452.155332205382
2019-06-12,7787.222221876544,456.4094297319655
2019-06-13,7757.175926165981,437.8655025771749
2019-06-14,7750.0,430.11626335213134
2019-06-15,7762.5,444.2338910979215
2019-06-16,7749.107142538265,432.29686575074146
2019-06-17,7687.5,422.60353760942417
2019-06-18,7651.358695918006,415.5102790232557
2019-06-19,7637.5,415.14304763539036
2019-06-20,7625.0,420.56509603151807
2019-06-21,7625.0,420.56509603151807
2019-06-22,7600.0,384.0572873934304
2019-06-23,7583.333333330208,364.38685181463666
2019-06-24,7550.0,353.5533905932738
2019-06-25,7537.5,353.33235062756427
2019-06-26,7537.5,353.33235062756427
2019-06-27,7537.5,353.33235062756427
2019-06-28,7537.5,353.33235062756427
2019-06-29,7537.5,353.33235062756427
2019-06-30,7537.5,353.33235062756427
2019-07-01,7537.5,373.95688254128976
2019-07-02,7550.0,390.51248379533274
2019-07-03,7575.0,429.3891009329417
2019-07-04,7575.0,429.3891009329417
2019-07-05,7575.0,429.3891009329417
2019-07-06,7575.0,429.3891009329417
2019-07-07,7575.0,429.3891009329417
2019-07-08,7562.5,432.8322423295196
2019-07-09,7575.0,454.8351349665063
2019-07-10,7600.0,502.4937810560445
2019-07-11,7587.5,506.05706199992903
2019-07-12,7587.5,506.05706199992903
2019-07-13,7587.5,506.05706199992903
2019-07-14,7587.5,506.05706199992903
2019-07-15,7462.5,335.17719194479804
2019-07-16,7462.5,303.8811445285805
2019-07-17,7462.5,303.8811445285805
2019-07-18,7450.0,308.2207001484488
2019-07-19,7450.0,308.2207001484488
2019-07-20,7462.5,307.967124868873
2019-07-21,7462.5,307.967124868873
2019-07-22,7475.0,323.0711995830021
2019-07-23,7475.0,323.0711995830021
2019-07-24,7462.5,307.967124868873
2019-07-25,7462.5,307.967124868873
2019-07-26,7462.5,307.967124868873
2019-07-27,7462.5,307.967124868873
2019-07-28,7462.5,307.967124868873
2019-07-29,7462.5,307.967124868873
2019-07-30,7525.0,326.9174207655505
2019-07-31,7537.5,323.79584617471545
2019-08-01,7525.0,307.2051431861127
2019-08-02,7525.0,307.2051431861127
2019-08-03,7525.0,307.2051431861127
2019-08-04,7525.0,307.2051431861127
2019-08-05,7537.5,323.79584617471545
2019-08-06,7537.5,323.79584617471545
2019-08-07,7533.375,275.85727174573447
2019-08-08,7533.375,275.85727174573447
2019-08-09,7533.375,275.85727174573447
2019-08-10,7533.375,275.85727174573447
2019-08-11,7533.375,275.85727174573447
2019-08-12,7533.375,275.85727174573447
2019-08-13,7533.375,275.85727174573447
2019-08-14,7538.549382609359,274.59494586925473
2019-08-15,7540.895061595032,276.9600015165183
2019-08-16,7544.166666563786,280.4547397486741
2019-08-17,7547.99382712239,284.82249225259034
2019-08-18,7552.00617287761,289.7110528123343
2019-08-19,7555.833333436214,294.6549301440518
2019-08-20,7559.104938404968,299.088208070773
2019-08-21,7561.450617390641,302.37931252623275
