<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e24d485d3c0abe85a0b983cf1fa608eecfa1c62548290a10db75efa396258332
size 8982
=======
COMMODITY,STATENAME,MANDINAME
Potato,GUJARAT,DAHOD(VEG. MARKET)
Potato,GUJARAT,KHAMBHAT(VEG YARD KHAMBHAT)
Potato,GUJARAT,SURAT
Potato,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA)
Potato,GUJARAT,VADHVAN
Potato,GUJARAT,BHARUCH
Potato,GUJARAT,VADODARA(SAYAJIPURA)
Potato,GUJARAT,PADRA
Potato,GUJARAT,MEHSANA(MEHSANA VEG)
Potato,HIMACHAL PRADESH,KULLU
Potato,HIMACHAL PRADESH,BHUNTAR
Potato,HIMACHAL PRADESH,SOLAN
Potato,HIMACHAL PRADESH,DHANOTU (MANDI)
Potato,HIMACHAL PRADESH,MANDI(MANDI)
Potato,HIMACHAL PRADESH,HAMIRPUR
Potato,MADHYA PRADESH,LASHKAR(F&V)
Potato,MADHYA PRADESH,BURHANPUR(F&V)
Potato,MADHYA PRADESH,DEWAS(F&V)
Potato,MADHYA PRADESH,SANWER
Potato,MADHYA PRADESH,BHOPAL(F&V)
Potato,MADHYA PRADESH,HAATPIPLIYA
Potato,MADHYA PRADESH,SAGAR(F&V)
Potato,MADHYA PRADESH,DHAMNOD
Potato,MADHYA PRADESH,GUNA(F&V)
Potato,MADHYA PRADESH,JABALPUR(F&V)
Potato,MADHYA PRADESH,MORENA(F&V)
Potato,MADHYA PRADESH,HARDA(F&V)
Potato,MADHYA PRADESH,CHHINDWARA(F&V)
Potato,MADHYA PRADESH,INDORE(F&V)
Potato,MADHYA PRADESH,NARSINGHGARH
Potato,MADHYA PRADESH,DEORI
Potato,MADHYA PRADESH,SHIVPURI(F&V)
Potato,MADHYA PRADESH,RAJGARH
Potato,MADHYA PRADESH,UJJAIN(F&V)
Potato,NCT OF DELHI,SHAHDARA
Potato,NCT OF DELHI,AZADPUR
Potato,NCT OF DELHI,KESHOPUR
Potato,PUNJAB,KHARAR
Potato,PUNJAB,DASUYA
Potato,PUNJAB,AJNALA
Potato,PUNJAB,DERA BASSI
Potato,PUNJAB,MALERKOTLA
Potato,PUNJAB,ZIRA
Potato,PUNJAB,SANGRUR
Potato,PUNJAB,BARNALA
Potato,PUNJAB,LALRU
Potato,PUNJAB,PATTI
Potato,PUNJAB,NABHA
Potato,PUNJAB,RAMAN
Potato,PUNJAB,SUNAM
Potato,PUNJAB,DHARAMKOT
Potato,PUNJAB,RAJPURA
Potato,PUNJAB,PHILLAUR(APRA MANDI)
Potato,PUNJAB,DHARIWAL
Potato,PUNJAB,JAGRAON
Potato,PUNJAB,TANDA URMUR
Potato,PUNJAB,JALANDHAR CITY(JALANDHAR)
Potato,UTTAR PRADESH,FAIZABAD
Potato,UTTAR PRADESH,PILIBHIT
Potato,UTTAR PRADESH,LAKHIMPUR
Potato,UTTAR PRADESH,MURADABAD
Potato,UTTAR PRADESH,BASTI
Potato,UTTAR PRADESH,RAMPUR
Potato,UTTAR PRADESH,BAREILLY
Potato,UTTAR PRADESH,LUCKNOW
Potato,UTTAR PRADESH,GONDA
Potato,UTTAR PRADESH,SAHARANPUR
Potato,UTTAR PRADESH,FIROZABAD
Potato,UTTAR PRADESH,PRATAPGARH
Potato,UTTAR PRADESH,BARABANKI
Potato,UTTAR PRADESH,ATARRA
Potato,UTTAR PRADESH,MUZZAFARNAGAR
Potato,UTTAR PRADESH,ETAWAH
Potato,UTTAR PRADESH,GULAVATI
Potato,UTTAR PRADESH,BAHRAICH
Potato,UTTAR PRADESH,JALAUN
Potato,UTTAR PRADESH,PUKHRAYAN
Potato,WEST BENGAL,GUSKARA(BURDWAN)
Potato,WEST BENGAL,PANDUA
Potato,WEST BENGAL,DHUPGURI
Potato,WEST BENGAL,BISHNUPUR(BANKURA)
Potato,WEST BENGAL,RAMKRISHANPUR(HOWRAH)
Potato,WEST BENGAL,ULUBERIA
Potato,WEST BENGAL,ISLAMPUR
Potato,WEST BENGAL,ASANSOL
Potato,WEST BENGAL,DURGAPUR
Potato,WEST BENGAL,JANGIPUR
Potato,WEST BENGAL,KATWA
Potato,WEST BENGAL,SHEORAPHULY
Potato,WEST BENGAL,MOYNAGURI
Potato,WEST BENGAL,SAMSI
Potato,WEST BENGAL,ENGLISH BAZAR
Potato,WEST BENGAL,HABRA
Potato,WEST BENGAL,CHAKDAH
Potato,WEST BENGAL,BALURGHAT
Potato,WEST BENGAL,KALIMPONG
Potato,WEST BENGAL,GANGARAMPUR(DAKSHIN DINAJPUR)
Tomato,ANDHRA PRADESH,KHIRAKIYA
Tomato,ANDHRA PRADESH,REHATI
Tomato,ANDHRA PRADESH,MULTAI
Tomato,ANDHRA PRADESH,ITARSI
Tomato,ANDHRA PRADESH,NASRULLAGANJ
Tomato,ANDHRA PRADESH,PATTIKONDA
Tomato,KARNATAKA,KOLAR
Tomato,KARNATAKA,SRINIVASAPUR
Tomato,KARNATAKA,MULABAGILU
Tomato,KARNATAKA,CHINTAMANI
Tomato,KARNATAKA,RAMANAGARA
Tomato,KARNATAKA,CHANNAPATANA
Tomato,KARNATAKA,CHICKKABALLAPURA
Tomato,KARNATAKA,MYSORE (BANDIPALYA)
Tomato,KARNATAKA,DODDABALLA PUR
Tomato,KARNATAKA,CHIKKAMAGALORE
Tomato,KARNATAKA,BANGARPET
Tomato,KARNATAKA,DAVANGERE
Tomato,KARNATAKA,BAGEPALLI
Tomato,MAHARASHTRA,VAI
Tomato,MAHARASHTRA,KAMTHI
Tomato,MAHARASHTRA,KOLHAPUR
Tomato,MAHARASHTRA,SATARA
Tomato,MAHARASHTRA,MUMBAI
Tomato,MAHARASHTRA,PUNE
Tomato,MAHARASHTRA,KARAD
Tomato,MAHARASHTRA,NAVAPUR
Tomato,MAHARASHTRA,SOLAPUR
Tomato,MAHARASHTRA,SHRIRAMPUR
Tomato,MAHARASHTRA,KHED(CHAKAN)
Tomato,MAHARASHTRA,PANDHARPUR
Tomato,MAHARASHTRA,PUNE(PIMPRI)
Tomato,MAHARASHTRA,CHANDRAPUR(GANJWAD)
Tomato,MAHARASHTRA,PUNE(HADAPSAR)
Tomato,MAHARASHTRA,KALMESHWAR
Tomato,MAHARASHTRA,AMRAWATI(FRUI & VEG. MARKET)
Tomato,MAHARASHTRA,JALGAON
Tomato,MAHARASHTRA,SANGAMNER
Tomato,MAHARASHTRA,VITA
Tomato,MAHARASHTRA,PIMPALGAON
Tomato,MAHARASHTRA,UMARED
Tomato,MAHARASHTRA,AKLUJ
Tomato,MAHARASHTRA,VADGAONPETH
Tomato,MAHARASHTRA,NAGPUR
Tomato,MAHARASHTRA,PALTHAN
Tomato,MAHARASHTRA,PATAN
Tomato,MAHARASHTRA,RATNAGIRI (NACHANE)
Tomato,NCT OF DELHI,SHAHDARA
Tomato,NCT OF DELHI,AZADPUR
Tomato,NCT OF DELHI,KESHOPUR
Tomato,UTTAR PRADESH,PILIBHIT
Tomato,UTTAR PRADESH,FAIZABAD
Tomato,UTTAR PRADESH,MURADABAD
Tomato,UTTAR PRADESH,LUCKNOW
Tomato,UTTAR PRADESH,BAREILLY
Tomato,UTTAR PRADESH,GONDA
Tomato,UTTAR PRADESH,PRATAPGARH
Tomato,UTTAR PRADESH,SAHARANPUR
Tomato,UTTAR PRADESH,MUZZAFARNAGAR
Tomato,UTTAR PRADESH,RAMPUR
Tomato,UTTAR PRADESH,PUKHRAYAN
Tomato,UTTAR PRADESH,ETAWAH
Tomato,UTTAR PRADESH,BARABANKI
Tomato,UTTAR PRADESH,AURAIYA
Tomato,UTTAR PRADESH,KANPUR(GRAIN)
Tomato,UTTAR PRADESH,KANNAUJ
Tomato,UTTAR PRADESH,JALAUN
Tomato,UTTAR PRADESH,BADAYOUN
Tomato,UTTAR PRADESH,BAHRAICH
Tomato,UTTAR PRADESH,LAKHIMPUR
Tomato,UTTAR PRADESH,FIROZABAD
Tomato,UTTAR PRADESH,MADHOGANJ
Tomato,UTTAR PRADESH,FATEHPUR
Tomato,UTTAR PRADESH,MEERUT
Tomato,UTTAR PRADESH,MAINPURI
Tomato,UTTAR PRADESH,UNNAO
Tomato,UTTAR PRADESH,AGRA
Tomato,UTTAR PRADESH,ALIGARH
Tomato,UTTAR PRADESH,AZAMGARH
Tomato,UTTAR PRADESH,JHANSI
Sugar,MAHARASHTRA,MUMBAI
Sugar,UTTAR PRADESH,LAKHIMPUR
Sugar,UTTAR PRADESH,HAPUR
Rice,WEST BENGAL,KHARAGPUR
Rice,WEST BENGAL,KOLKATA
Rice,WEST BENGAL,MALDA
Rice,WEST BENGAL,PURULIA
Rice,WEST BENGAL,RAIGANJ
Rice,WEST BENGAL,SILIGURI
Rice,UTTAR PRADESH,AGRA
Rice,UTTAR PRADESH,ALLAHABAD
Rice,UTTAR PRADESH,GORAKHPUR
Rice,UTTAR PRADESH,JHANSI
Rice,UTTAR PRADESH,LUCKNOW
Rice,UTTAR PRADESH,MEERUT
Rice,UTTAR PRADESH,VARANASI
Rice,PUNJAB,AMRITSAR
Rice,PUNJAB,BATHINDA
Rice,PUNJAB,CHANDIGARH
Rice,PUNJAB,LUDHIANA
Rice,PUNJAB,PANCHKULA
Masur Dal,WEST BENGAL,KHARAGPUR
Masur Dal,WEST BENGAL,KOLKATA
Masur Dal,WEST BENGAL,MALDA
Masur Dal,WEST BENGAL,PURULIA
Masur Dal,WEST BENGAL,RAIGANJ
Masur Dal,WEST BENGAL,SILIGURI
Masur Dal,MADHYA PRADESH,BHOPAL
Masur Dal,MADHYA PRADESH,GWALIOR
Masur Dal,MADHYA PRADESH,INDORE
Masur Dal,MADHYA PRADESH,JABALPUR
Masur Dal,MADHYA PRADESH,REWA
Masur Dal,MADHYA PRADESH,SAGAR
Green Gram Dal (Moong Dal),ODISHA,BALASORE
Green Gram Dal (Moong Dal),ODISHA,BERHAMPUR
Green Gram Dal (Moong Dal),ODISHA,BHUBANESHWAR
Green Gram Dal (Moong Dal),ODISHA,CUTTACK
Green Gram Dal (Moong Dal),ODISHA,SAMBALPUR
Green Gram Dal (Moong Dal),ANDHRA PRADESH,HYDERABAD
Green Gram Dal (Moong Dal),ANDHRA PRADESH,KARIMNAGAR
Green Gram Dal (Moong Dal),ANDHRA PRADESH,TIRUPATHI
Green Gram Dal (Moong Dal),ANDHRA PRADESH,VIJAYWADA
Green Gram Dal (Moong Dal),ANDHRA PRADESH,VISAKHAPATNAM
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
