<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:77d4f40d4ee3ce3e6378503bcc97df820dfccacccd97a3809090626a29571c15
size 5430
=======
COMMODITY,MANDI,PERCENTAGE
ONION,MAHARASHTRA_LASALGAON_Price.csv,0.5459272097053726
ONION,KARNATAKA_DAVANGERE_Price.csv,0.5459272097053726 
POTATO,WEST BENGAL_BISHNUPUR(BANKURA)_Price.csv,0.9676113360323887
POTATO,WEST BENGAL_ULUBERIA_Price.csv,0.9305957200694043
POTATO,WEST BENGAL_DURGAPUR_Price.csv,0.9063042220936958
POTATO,WEST BENGAL_ISLAMPUR_Price.csv,0.8946759259259259
POTATO,WEST BENGAL_SHEORAPHULY_Price.csv,0.8889531521110469
POTATO,WEST BENGAL_KATWA_Price.csv,0.863346844238564
POTATO,WEST BENGAL_KALYANI_Price.csv,0.863346844238564
POTATO,UTTAR PRADESH_FAIZABAD_Price.csv,0.9230769230769231
POTATO,UTTAR PRADESH_LAKHIMPUR_Price.csv,0.8970503181029497
POTATO,UTTAR PRADESH_BASTI_Price.csv,0.876229034123771
POTATO,UTTAR PRADESH_LUCKNOW_Price.csv,0.8415268941584731
POTATO,PUNJAB_AJNALA_Price.csv,0.8825910931174089
POTATO,PUNJAB_ZIRA_Price.csv,0.8571428571428571
POTATO,PUNJAB_MALERKOTLA_Price.csv,0.8392134181607865
POTATO,PUNJAB_SANGRUR_Price.csv,0.821283979178716
POTATO,PUNJAB_BARNALA_Price.csv,0.8153935185185185
POTATO,NCT OF DELHI_AZADPUR_Price.csv,0.7559282822440717
RICE,PUNJAB_PANCHKULA_Price.csv,0.9738675958188153
RICE,WEST BENGAL_KOLKATA_Price.csv,0.9721254355400697
RICE,PUNJAB_LUDHIANA_Price.csv,0.9146341463414634
RICE,PUNJAB_BATHINDA_Price.csv,0.8530778164924506
RICE,UTTAR PRADESH_AGRA_Price.csv,0.8304297328687572
RICE,UTTAR PRADESH_ALLAHABAD_Price.csv,0.8286875725900116
RICE,UTTAR PRADESH_GORAKHPUR_Price.csv,0.8286875725900116
RICE,UTTAR PRADESH_VARANASI_Price.csv,0.8240418118466899
RICE,UTTAR PRADESH_LUCKNOW_Price.csv,0.8234610917537747
RICE,PUNJAB_CHANDIGARH_Price.csv,0.8211382113821138
RICE,UTTAR PRADESH_MEERUT_Price.csv,0.8205574912891986
RICE,UTTAR PRADESH_JHANSI_Price.csv,0.818815331010453
RICE,WEST BENGAL_PURULIA_Price.csv,0.8112659698025552
RICE,WEST BENGAL_RAIGANJ_Price.csv,0.789198606271777
RICE,PUNJAB_AMRITSAR_Price.csv,0.7839721254355401
TOMATO,KARNATAKA_SRINIVASAPUR_Price.csv,0.9531521110468479
TOMATO,KARNATAKA_MULABAGILU_Price.csv,0.9519675925925926
TOMATO,KARNATAKA_CHINTAMANI_Price.csv,0.930934416715032
TOMATO,UTTAR PRADESH_FAIZABAD_Price.csv,0.8744939271255061
TOMATO,UTTAR PRADESH_LUCKNOW_Price.csv,0.8334297281665702
TOMATO,UTTAR PRADESH_GONDA_Price.csv,0.8152866242038217
TOMATO,UTTAR PRADESH_AURAIYA_Price.csv,0.7952573742047426
TOMATO,UTTAR PRADESH_KANNAUJ_Price.csv,0.794679005205321
TOMATO,KARNATAKA_CHICKKABALLAPURA_Price.csv,0.7934027777777778
TOMATO,UTTAR PRADESH_BARABANKI_Price.csv,0.7917871602082128
TOMATO,UTTAR PRADESH_PUKHRAYAN_Price.csv,0.7906304222093696
TOMATO,UTTAR PRADESH_KANPUR(GRAIN)_Price.csv,0.7854251012145749
TOMATO,KARNATAKA_MYSORE (BANDIPALYA)_Price.csv,0.763447079236553
TOMATO,MAHARASHTRA_PUNE_Price.csv,0.7420474262579526
TOMATO,NCT OF DELHI_AZADPUR_Price.csv,0.7304800462695199
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
