<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4316bcc36df88e9b7a8912778dad8549d8841f4c03bb72420aca6f0bb7f5691f
size 5760
=======
mandicode,mandiname,statecode,latitude,longitude,centreid
367,143,Gangapur,2,19.697525199999998,75.0105028,44
374,1122,Aatpadi,2,17.428733100000002,74.9383153,18
379,142,Dindori(Vani),2,20.2,73.833056,75
397,380,Pandharpur,2,17.674553500000002,75.3237262,18
404,1245,Bodwad(Varangaon),2,20.901904000000002,76.0174308,28
415,473,Kolhapur(Malkapur),2,16.691307600000002,74.2448662,48
416,375,Ahmednagar,2,19.0952075,74.7495916,44
433,1179,Kolhapur(Laxmipuri),2,16.691307600000002,74.2448662,48
455,1401,Ambejaogai,2,18.73,76.38,76
458,150,Nasik,2,19.9974533,73.78980229999999,44
462,838,Pune(Pimpri),2,18.5204303,73.85674370000001,44
473,1066,Tuljapur,2,18.010037,76.0710681,18
479,426,Newasa(Ghodegaon),2,19.5511772,74.9281063,44
497,153,Pathardi,2,19.17,75.18,44
498,905,Jamkhed,2,18.7380109,75.312064,44
511,537,Lasur Station,2,19.926761600000003,75.0107765,44
521,1149,Chandrapur,2,19.95,79.3,46
527,1428,Khed,2,17.7195516,73.39681359999999,44
534,1238,Kannad,2,20.27,75.13,75
558,675,Dhule,2,20.9042201,74.7748979,75
562,163,Yeola,2,20.042,74.48899999999999,44
563,685,Pimpalgaon,2,20.169967800000002,73.98737870000001,75
570,1065,Ratnagiri (Nachane),2,16.990215,73.3120233,48
573,1377,Rahuri(Songaon),2,19.392678,74.6488264,44
612,377,Baramati,2,18.15,74.58,44
614,147,Manmad,2,20.2511789,74.43660159999999,75
626,429,Sangamner,2,19.5771387,74.2079648,44
657,156,Pune(Khadiki),2,18.5204303,73.85674370000001,44
665,1190,Fruit Market,2,19.073728,73.00826500000001,44
692,1482,Wardha,2,20.745319,78.6021946,46
719,423,Junnar,2,19.2,73.88,44
722,139,Chandvad,2,20.329167,74.244444,75
734,855,Sangola,2,17.4340512,75.1953934,18
771,428,Rahata,2,19.716667,74.483333,44
788,939,Koregaon,2,17.696635399999998,74.1607179,44
792,1041,Karmala,2,18.404483300000003,75.1953934,44
800,1270,Chopada,2,21.2472081,75.3031435,28
808,427,Pune,2,18.5204303,73.85674370000001,44
813,422,Akole,2,19.5406298,74.00542800000001,44
846,146,Lasalgaon,2,20.15,74.24,44
860,1398,Akola,2,20.7059345,77.0219019,46
861,474,Lasalgaon(Niphad),2,20.15,74.24,44
864,140,Devala,2,19.5775185,77.053568,76
867,793,Akluj,2,17.882445,75.0205283,18
912,890,Navapur,2,21.1616527,73.7946403,75
927,856,Nandura,2,20.833333,76.459722,28
931,1183,Jalana,2,19.829689300000002,75.8800305,28
940,792,Pen,2,18.734888,73.09660190000001,44
946,796,Sakri,2,20.992604500000002,74.31407420000001,75
976,1432,Akkalkot,2,17.524216199999998,76.2054416,18
977,141,Dindori,2,22.9417931,81.07684549999999,30
984,1581,Shahapur,2,16.695675400000002,76.8431564,18
987,471,Jalgaon,2,20.997984,75.566711,28
1020,799,Malkapur,2,20.886483,76.2162709,28
1041,1573,Bhusaval,2,21.05,75.77,28
1043,1406,Jalgaon(Masawat),2,20.997984,75.566711,28
1050,883,Kamthi,2,21.2275312,79.1900834,46
1053,145,Kolhapur,2,16.691307600000002,74.2448662,48
1058,853,Nashik(Devlali),2,19.9974533,73.78980229999999,44
1066,862,Kopargaon,2,19.8916791,74.4790898,44
1076,161,Solapur,2,17.6599188,75.9063906,18
1093,138,Amrawati(Frui & Veg. Market),2,20.9374238,77.7795513,46
1103,160,Sinner,2,19.85,74.0,44
1119,477,Rahuri(Vambori),2,19.392678,74.6488264,44
1149,540,Parner,2,19.003,74.438,44
1163,937,Indapur,2,18.12,75.03,44
1191,1296,Vai,2,20.0848733,78.6267518,46
1194,154,Pimpalgaon Baswant(Saykheda),2,20.169967800000002,73.98737870000001,75
1195,144,Kalvan,2,18.2913574,73.2735875,44
1200,769,Bhivandi,2,19.281254699999998,73.0482912,44
1204,470,Barshi,2,18.233385600000002,75.6941478,18
1224,1409,Bhadrawati,2,20.1003298,79.1145675,46
1280,716,Amarawati,2,20.930385,77.75875,46
1283,500,Chandrapur(Ganjwad),2,19.95,79.3,46
1325,425,Kada,2,18.896108899999998,75.08155570000001,44
1330,476,Palghar,2,19.6935581,72.7655184,44
1344,897,Vaijpur,2,19.9256818,74.7284812,44
1351,504,Kurdwadi,2,18.0963477,75.4221007,18
1361,502,Kalyan,2,19.2403305,73.1305395,44
1363,1553,Patan,2,17.37,73.9,48
1377,382,Shirpur,2,21.3495981,74.8797127,28
1385,1029,Karjat(Raigad),2,18.9192249,73.3277223,44
1386,1058,Washi(Thane Market),2,18.542222,75.778889,44
1400,1249,Shrigonda,2,18.617543899999998,74.6981267,44
1428,1068,Kurdwadi(Modnimb),2,18.0963477,75.4221007,18
1451,1378,Alibagh,2,18.6553938,72.8670819,44
1470,148,Mumbai,2,19.0759837,72.87765590000001,44
1501,376,Aurangabad,2,24.75,84.37,50
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
