<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:2784b1bb659ec493b0e650d826c52230c12c7e007975e546d995edd8c507b01a
size 7856
=======
COMMODITY,MANDINAME,NEIGHBOURINGMANDINAME,CORRELATION,DAYS
POTATO,WEST BENGAL_ULUBERIA,WEST BENGAL_KALYANI,0.9897231652580561,-2
POTATO,PUNJAB_BARNALA,PUNJAB_MALERKOTLA,0.9537646561374691,0
POTATO,PUNJAB_ZIRA,HIMACHAL PRADESH_KULLU,0.8960170296449895,2
POTATO,NCT OF DELHI_AZADPUR,WEST BENGAL_ISLAMPUR,0.9202711845019802,0
POTATO,UTTAR PRADESH_BARABANKI,UTTAR PRADESH_LAKHIMPUR,0.9797324145848479,-1
POTATO,PUNJAB_AJNALA,UTTAR PRADESH_JALAUN,0.8267603050525625,-3
POTATO,WEST BENGAL_ISLAMPUR,WEST BENGAL_KALYANI,0.9497903794984003,-1
POTATO,WEST BENGAL_SHEORAPHULY,WEST BENGAL_KALYANI,0.9832420246592792,-1
POTATO,GUJARAT_VADHVAN,GUJARAT_BHARUCH,0.8573009830022148,0
POTATO,UTTAR PRADESH_FIROZABAD,UTTAR PRADESH_FAIZABAD,0.9736619109453417,7
POTATO,UTTAR PRADESH_JALAUN,UTTAR PRADESH_BASTI,0.9658568834395156,1
POTATO,UTTAR PRADESH_LAKHIMPUR,UTTAR PRADESH_BARABANKI,0.9797324145848479,1
POTATO,WEST BENGAL_KATWA,WEST BENGAL_KALYANI,0.9767630721326591,-2
POTATO,GUJARAT_BHARUCH,UTTAR PRADESH_BASTI,0.9267240346828458,1
POTATO,UTTAR PRADESH_BASTI,UTTAR PRADESH_FAIZABAD,0.9815095525674581,8
POTATO,GUJARAT_AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),WEST BENGAL_KALYANI,0.68553659662367,-8
POTATO,PUNJAB_SANGRUR,PUNJAB_MALERKOTLA,0.9224561348571823,8
ONION,UTTAR PRADESH_LUCKNOW,UTTAR PRADESH_BASTI,0.9857924958541782,-2
ONION,UTTAR PRADESH_GAZIPUR,UTTAR PRADESH_MIRZAPUR,0.9830387738502848,-1
ONION,UTTAR PRADESH_MIRZAPUR,UTTAR PRADESH_AZAMGARH,0.9877656137074824,0
ONION,UTTAR PRADESH_KANPUR(GRAIN),UTTAR PRADESH_AZAMGARH,0.9566389515800565,-5
ONION,UTTAR PRADESH_AZAMGARH,UTTAR PRADESH_BASTI,0.9908990701242021,0
ONION,MAHARASHTRA_LASALGAON,UTTAR PRADESH_BASTI,0.9648500056845712,-10
ONION,KARNATAKA_BELGAUM,UTTAR PRADESH_KANPUR(GRAIN),0.9390833946788847,1
ONION,NCT OF DELHI_AZADPUR,UTTAR PRADESH_FATEHPUR,0.9593428955376792,-1
ONION,UTTAR PRADESH_BARABANKI,UTTAR PRADESH_AZAMGARH,0.9804564703590547,0
ONION,UTTAR PRADESH_GONDA,UTTAR PRADESH_BASTI,0.9649005035384791,1
ONION,UTTAR PRADESH_BAHRAICH,UTTAR PRADESH_AZAMGARH,0.983219302158345,1
ONION,UTTAR PRADESH_JALAUN,UTTAR PRADESH_LAKHIMPUR,0.9659527842614269,5
ONION,UTTAR PRADESH_LAKHIMPUR,UTTAR PRADESH_AZAMGARH,0.9874929705907537,3
ONION,UTTAR PRADESH_AURAIYA,UTTAR PRADESH_KANNAUJ,0.9597319515280353,-2
ONION,UTTAR PRADESH_BASTI,UTTAR PRADESH_AZAMGARH,0.9908990701242019,0
ONION,KARNATAKA_BANGALORE,UTTAR PRADESH_AZAMGARH,0.9511718974555731,-10
ONION,UTTAR PRADESH_PUKHRAYAN,UTTAR PRADESH_AZAMGARH,0.9748428199359367,1
ONION,UTTAR PRADESH_KANNAUJ,UTTAR PRADESH_AZAMGARH,0.9851592425408596,0
ONION,UTTAR PRADESH_FATEHPUR,UTTAR PRADESH_BASTI,0.9679714739839937,-6
MASUR DAL,WEST BENGAL_RAIGANJ,MADHYA PRADESH_REWA,0.8618525616424262,9
MASUR DAL,MADHYA PRADESH_GWALIOR,MADHYA PRADESH_INDORE,0.8954444041552356,-1
MASUR DAL,WEST BENGAL_PURULIA,MADHYA PRADESH_REWA,0.8411413873263711,-10
MASUR DAL,MADHYA PRADESH_INDORE,MADHYA PRADESH_BHOPAL,0.9428038646102623,9
MASUR DAL,MADHYA PRADESH_SAGAR,MADHYA PRADESH_REWA,0.8792692287512923,-10
MASUR DAL,MADHYA PRADESH_JABALPUR,MADHYA PRADESH_INDORE,0.8860780025734304,-10
MASUR DAL,WEST BENGAL_MALDA,MADHYA PRADESH_REWA,0.849483473608437,-10
MASUR DAL,MADHYA PRADESH_BHOPAL,MADHYA PRADESH_INDORE,0.9435729458277584,-10
MASUR DAL,MADHYA PRADESH_REWA,MADHYA PRADESH_SAGAR,0.8792025985494604,9
MASUR DAL,WEST BENGAL_KOLKATA,MADHYA PRADESH_BHOPAL,0.9047635812399601,1
MASUR DAL,WEST BENGAL_KHARAGPUR,WEST BENGAL_KOLKATA,0.8039908145936039,-4
SUGAR,MAHARASHTRA_MUMBAI,UTTAR PRADESH_ALIGARH,0.7925035563008447,-6
SUGAR,UTTAR PRADESH_LAKHIMPUR,MAHARASHTRA_MUMBAI,0.0,0
SUGAR,UTTAR PRADESH_ALIGARH,MAHARASHTRA_MUMBAI,0.7925035563008447,6
GREEN GRAM DAL (MOONG DAL),ODISHA_BHUBANESHWAR,ODISHA_SAMBALPUR,0.9888788681921346,-2
GREEN GRAM DAL (MOONG DAL),ODISHA_SAMBALPUR,ODISHA_BHUBANESHWAR,0.9888788681921346,2
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_VISAKHAPATNAM,ODISHA_SAMBALPUR,0.9203394535895835,9
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_KARIMNAGAR,ANDHRA PRADESH_HYDERABAD,0.9353517395462584,1
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_TIRUPATHI,ANDHRA PRADESH_KARIMNAGAR,0.9306751690437377,-10
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_HYDERABAD,ANDHRA PRADESH_KARIMNAGAR,0.9353517395462585,-1
GREEN GRAM DAL (MOONG DAL),ODISHA_CUTTACK,ODISHA_BHUBANESHWAR,0.9802180100514357,-3
GREEN GRAM DAL (MOONG DAL),ANDHRA PRADESH_VIJAYWADA,ANDHRA PRADESH_HYDERABAD,0.876388558669377,-10
TOMATO,UTTAR PRADESH_LUCKNOW,UTTAR PRADESH_KANPUR(GRAIN),0.9533306129389224,0
TOMATO,UTTAR PRADESH_FAIZABAD,UTTAR PRADESH_BARABANKI,0.9613503466416939,-5
TOMATO,KARNATAKA_SRINIVASAPUR,KARNATAKA_MULABAGILU,0.9050605894805998,0
TOMATO,UTTAR PRADESH_KANPUR(GRAIN),UTTAR PRADESH_KANNAUJ,0.9602838309859885,-4
TOMATO,KARNATAKA_CHINTAMANI,KARNATAKA_MULABAGILU,0.891543348193794,0
TOMATO,NCT OF DELHI_AZADPUR,UTTAR PRADESH_FAIZABAD,0.9005097815812362,-1
TOMATO,UTTAR PRADESH_BARABANKI,UTTAR PRADESH_FAIZABAD,0.9613503466416939,5
TOMATO,UTTAR PRADESH_GONDA,UTTAR PRADESH_BARABANKI,0.9472214001118975,0
TOMATO,KARNATAKA_CHICKKABALLAPURA,KARNATAKA_CHINTAMANI,0.8872472784561776,1
TOMATO,KARNATAKA_MULABAGILU,KARNATAKA_MYSORE (BANDIPALYA),0.9169148964506223,-1
TOMATO,MAHARASHTRA_PUNE,KARNATAKA_CHINTAMANI,0.8253597728858615,6
TOMATO,UTTAR PRADESH_AURAIYA,UTTAR PRADESH_BARABANKI,0.9281280212980989,-3
TOMATO,UTTAR PRADESH_PUKHRAYAN,UTTAR PRADESH_KANNAUJ,0.9432532315386861,-1
TOMATO,KARNATAKA_MYSORE (BANDIPALYA),KARNATAKA_MULABAGILU,0.9169139073296533,1
TOMATO,UTTAR PRADESH_KANNAUJ,UTTAR PRADESH_KANPUR(GRAIN),0.9602838309859885,4
SUGAR,UTTAR PRADESH_JHANSI,MAHARASHTRA_MUMBAI,0.8122915434480783,9
SUGAR,UTTAR PRADESH_ALLAHABAD,UTTAR PRADESH_MEERUT,0.833480182289866,9
SUGAR,UTTAR PRADESH_VARANASI,UTTAR PRADESH_MEERUT,0.8570018937327133,9
SUGAR,UTTAR PRADESH_GORAKHPUR,UTTAR PRADESH_MEERUT,0.8780111477790503,9
SUGAR,UTTAR PRADESH_AGRA,UTTAR PRADESH_ALIGARH,1.0,0
SUGAR,UTTAR PRADESH_LUCKNOW,UTTAR PRADESH_LAKHIMPUR,1.0,0
SUGAR,UTTAR PRADESH_MEERUT,UTTAR PRADESH_ALIGARH,0.9148862206076245,5
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
