<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6bfd3f0758b8764be87ed0fe70457ee33e83ff67a892c368432b2aebbad7c3a1
size 44713
=======
DATE,PRICE
2016-07-13,1530.0
2016-07-14,1530.0
2016-07-15,1535.0
2016-07-16,1536.6666666666667
2016-07-17,1543.3333333333333
2016-07-18,1546.6666666666667
2016-07-19,1550.8333333333333
2016-07-20,1553.3333333333333
2016-07-21,1554.2857142857142
2016-07-22,1557.142857142857
2016-07-23,1560.0
2016-07-24,1561.4285714285713
2016-07-25,1565.7142857142858
2016-07-26,1572.857142857143
2016-07-27,1580.0
2016-07-28,1588.5714285714287
2016-07-29,1594.2857142857142
2016-07-30,1600.0
2016-07-31,1604.2857142857142
2016-08-01,1610.0
2016-08-02,1612.857142857143
2016-08-03,1615.0
2016-08-04,1615.4285714285713
2016-08-05,1614.0
2016-08-06,1618.2857142857142
2016-08-07,1621.857142857143
2016-08-08,1624.0
2016-08-09,1624.6666666666667
