<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f9ab3caf6cd7fde7689ec921f82acae9c198187238850520b8ce08d4d13765d4
size 50979
=======
DATE,ARRIVAL
2016-07-07,13.716666666666656
2016-07-08,14.29999999999999
2016-07-09,14.816666666666658
2016-07-10,15.149999999999991
2016-07-11,15.816666666666658
2016-07-12,15.771428571428563
2016-07-13,15.999999999999991
2016-07-14,15.671428571428564
2016-07-15,15.485714285714279
2016-07-16,15.328571428571422
2016-07-17,15.35714285714285
2016-07-18,15.499999999999995
2016-07-19,15.514285714285707
2016-07-20,15.571428571428566
2016-07-21,15.642857142857137
2016-07-22,15.71666666666666
2016-07-23,15.766666666666659
2016-07-24,15.766666666666659
2016-07-25,15.599999999999993
2016-07-26,15.46666666666666
2016-07-27,15.166666666666659
2016-07-28,15.199999999999994
2016-07-29,15.199999999999994
2016-07-30,15.233333333333327
2016-07-31,15.316666666666661
2016-08-01,15.483333333333327
